id,top_tier_site,site_parent_name,site_name,geo_waterbody
02d768a5b9a072350c3c4d186e15291c,Dee,Shell Brook,Shellbrook Hill,GB111067051930
02dc44e59d91e247889f414e30ca8233,South Lakes Minor Catchments,Whicham Beck,"849.0- Beckside South, Whicham Beck",GB112074069830
02de12fb7f741f0916d9f9dce9ac11df,Lower Ouse,Cut-Off Channel,Hockwold Bridge,GB105033043400
02e81c902ee2542ea4f437b552d468b9,Itchen,Cheriton stream,Cheriton stream 1: downstream of flyover,GB107042016670
02ec1aa79f3d7fe16c97ed5453edbae5,River Lune,Abbey Beck (Millhouse Beck),Footbridge upstream Millbeck Farm,GB112072071690
02ece05eafe542ab6be4c3365cc2d327,Camel,Main Camel,Trecarne,GB108049006980
02edb0db6cace8a264cbf0b05693bf40,River Rother catchment,River Hipper,River Hipper at Queens Park,GB104027057650
02f4017b2f2cfbf17ef718a10a069189,Exe,Main River Barle,Batsom Ford (Te)*,GB108045020870
02fac310c0780ba67348987ebe6f2af8,Lee,Ash,Watersplace Farm,GB106038033290
02fb068c224aa3419f131e1cdcc0450e,Fens,Vernatt's Drain,Sharpes Bridge (Vernatts Drain),GB105031050700
02fcfef128d7319099c29f0bf7ed3850,Lee,Lee,Essendon,GB106038033392
02fd52414d8baf0fbcef6a846bd68db2,Tamar,Main Thrushel,Hayne Bridge,GB108047008010
0301a95bc89ecfdf35e8d1496f9939b4,Rother,Tillingham,Ludley Farm,GB107040013560
03028b831b11c22b82d2c629f261a71f,Blackwater Catchment,River Blackwater,Pointwell Mill,GB105037041160
0302bfe3b6b7a33dff21c12147018f3c,Somerset Area,Main River Parrett,U/S Broad River,GB108052015260
0302e27a3aba717770e2e4a3eec1c66b,River Ribble,River Ribble,Waddow Weir,""
03032c4100e1208c990892eb79d78130,Waveney catchment,Tidal Waveney,D/S St. Olaves Bridge,""
03085688272f419aa298700dc7e1883a,River Tyne,MainTyne,Mickley - Fry Survey,""
030de724b6a10420df059d16c7ea1d42,Thames,Upper Thames,Osney Weirpool-Fyke Netting,""
0312b26a83ac07912af7cc42bed83074,Tamar,Caudworthy Water,Caudworthy,GB108047007830
03171fa37f0fd51ba967402546100830,Cam Catchment,Burwell Lode,Cock-Up Bridge,GB105033042720
0320a424e364cafae14ae6f7d18f66ef,Lower Ouse,U/s Lark,U/s Abbey Gardens,GB105033042940
032162be9ee31d2708e48961c0a49458,Isle of Wight,Rodge Brook,Rodgebrook Farm,""
032fece068be73bd0853a3fa6c7e2c61,Border Esk,Hall Burn,2146.00 Nr Hallburn Farm,GB102077074160
033106b1aa0b89f7b5c058f0b45ff27d,River Tyne,MainTyne,River Tyne At Corbridge,GB103023075801
03366cc2e91f1dd06a2fdc709ed3a61b,Avon (Hampshire),Main Avon Sites,Upavon D/S Road Bridge,""
033cfff11565692c28ce4d6c2abe6192,Somerset Area,Langford Brook,Loop Bridge (Se-05),GB109052021640
033f8039f90084be9e3f24d8c8adfc9f,River Tyne,Burnhope Burn,Burnhope Burn D/S of catchwater,""
03450ed9c541e1bdd54a4d0eb07f4d05,Colne Catchment,River Colne Lower,Castle Park,GB105037041330
03471a0b6f01448684f57e86024c2380,River Lune,River Rawthey,Beckside,GB112072071830
035172c98c4a89580fbc49f62f2b0d17,Camel,Main Allen,Trehannick Saw Mill (control),GB108049007050
03534cf24ab2dac2b30f2eda45ed1301,River Wyre,River Wyre,Wyreside Lakes,GB112072065821
03559660ee256d52ad6f9aa70524c85d,New Forest,Lymington,Red Rise,GB107042011360
0358fe8ad4309574524496c3758c4e82,Bure catchment,Rollesby Broad,583,GB105034050860
035c56698b9e196e662faf281e608240,Piddle,Piddle,Athelhampton,GB108044010080
035e7b2b28002658d3565c155f294115,Coastal Streams,Porthallow Stream,Porthallow,GB108048001680
0364fe88244e6727addfa64af42e37be,South Lakes Minor Catchments,River Winster,"547.00 D/s Simpson Ground Res, Way Beck",GB112073071420
0368d87b1407510d6474ce394e39cb88,Lincolnshire Lakes,Lincolnshire Lakes,Wellington A.C. Lake Louth.,GB105029061680
03752b296389f10682f6ab8f6e70d2e2,RIVER TRENT,RIVER SOW,Shugborough,GB104028047190
0378c66a6ae5d6a72f856efeee9cc65c,Thames,River Leach,Swyre's Farm,GB106039030040
03793772d24eb6aa9066d49ea309b981,River Wharfe,River Wharfe,Kettlewell,GB104027069290
037a61f6971e1bcc768e49a4f4cf3194,Lincolnshire Tributaries Sites,South Forty Foot Tributary Sites,Millthorpe,GB105030051550
0390a963182d571ec8eda751807276f8,River Severn,River Perry,Wyke,GB109054050030
039740631dfcb2959b4241c4f836ec67,Coastal Streams,Holmbush Stream,Downstream Tregrehan Confluence,""
039bebcb870c7eb620a80f9477a042c0,River Severn,River Tern,Crudgington,GB109054050170
03a27af196d6e1762a914efb899f74a1,River Derwent,River Derwent,"1545.92 Springs Frm, DS barrier, Brockle Beck",GB112075070410
03a59eb718cd2c11d91ac1b967c6b5d7,TRENT,ECCLESBOURNE,Jebbs Lane,GB104028052720
